item,Description,size decimal,Chop,join,cost,group
15-52,BRIGHT WHITE,1.00,5.90,,4.06,Metal
15-55,RIGHT RED,1.00,5.90,,4.06,Metal
15-58,INDIGO,1.00,5.90,,4.06,Metal
15-66,LAPIS,1.00,5.90,,4.06,Metal
15-68,CHINESE RED,1.00,5.90,,4.06,Metal
15-150,FLORENTINE SILVER,1.00,6.98,,4.80,Metal
15-153,FLORENTINE PEWTER,1.00,6.98,,4.80,Metal
15-154,FLORENTINE GRAY,1.00,6.98,,4.80,Metal
15-155,FLORENTINE AMBER,1.00,6.98,,4.80,Metal
15-156,FLORENTINE BLACK,1.00,6.98,,4.80,Metal
15-164,DUSK,1.00,6.67,,4.58,Metal
15-170,FROSTED UMBER,1.00,6.67,,4.58,Metal
21-21,MATTE BLACK,1.13,8.00,,5.51,Metal
21-08,FROSTED ROSE GOLD,1.13,8.00,,5.51,Metal
21-23,ANTIQUE GOLD,1.13,8.00,,5.51,Metal
21-50,BLACK,1.13,8.00,,5.51,Metal
21-227,VIVID RED,1.13,8.00,,5.51,Metal
21-233,PURPLE HAZE,1.13,8.00,,5.51,Metal
21-235,TANGERINE TWIST,1.13,8.00,,5.51,Metal
21-250,MERLOT,1.13,8.00,,5.51,Metal
21-257,SAPPHIRE,1.13,8.00,,5.51,Metal
21-258,REALLY TEAL X,1.13,8.00,,5.51,Metal
21-261,DAWN,1.13,8.00,,5.51,Metal
21-400,CHROME,1.13,8.00,,5.51,Metal
22-01,SILVER,1.41,6.74,,4.63,Metal
22-02,FROSTED SILVER X,1.41,6.74,,4.63,Metal
22-03,GOLD,1.41,6.74,,4.63,Metal
22-14,GERMAN SILVER,1.41,7.84,,5.39,Metal
22-20,ANODIC BLACK,1.41,7.84,,5.39,Metal
22-21,MATTE BLACK,1.41,7.84,,5.39,Metal
24-414,GERMAN SILVER,1.38,8.27,,5.69,Metal
24-421,BRUSHED SATIN BLACK,1.38,8.27,,5.69,Metal
24-423,ANTIQUE GOLD X,1.38,8.27,,5.69,Metal
24-469,STAINLESS STEEL,1.38,8.27,,5.69,Metal
24-471,SLATE X,1.38,8.27,,5.69,Metal
24-475,CHOCOLATE,1.38,8.27,,5.69,Metal
24-476,SAPPHIRE,1.38,8.27,,5.69,Metal
25-01,SILVER,1.19,6.61,,4.54,Metal
25-02,FROSTED SILVER,1.19,6.61,,4.54,Metal
25-04,FROSTED GOLD,1.19,6.61,,4.54,Metal
25-20,ANODIC BLACK,1.19,7.54,,5.17,Metal
25-21,MATTE BLACK,1.19,7.54,,5.17,Metal
33-50,BLACK,1.000,6.24,,4.30,Metal
34-14,GERMAN SILVER,1.38,6.99,,4.81,Metal
34-21,MATTE BLACK,1.38,6.99,,4.81,Metal
34-179,BLACK METALLINE X,1.38,7.73,,5.31,Metal
34-280,AMERICAN NATURAL,1.38,8.21,,5.65,Metal
65-246,OLD GOLD,1.19,8.00,,5.51,Metal
65-251,BARELY GOLD,1.19,8.00,,5.51,Metal
65-252,ROBIN'S EGG,1.19,8.00,,5.51,Metal
65-421,MATTE BLACK,1.19,8.00,,5.51,Metal
65-429,EBONY,1.19,8.00,,5.51,Metal
71-21,MATTE BLACK,1.500,8.86,,6.09,Metal
93-01,SILVER,1.00,6.21,,4.27,Metal
93-04,FROSTED GOLD,1.00,6.21,,4.27,Metal
93-14,GERMAN SILVER,1.00,6.99,,4.81,Metal
93-19,FROSTED WALNUT,1.00,6.99,,4.81,Metal
93-20,ANODIC BLACK,1.00,6.99,,4.81,Metal
93-21,MATTE BLACK,1.00,6.99,,4.81,Metal
93-23,ANTIQUE GOLD,1.00,6.21,,4.27,Metal
93-50,BLACK,1.00,6.21,,4.27,Metal
93-150,FLORENTINE SILVER,1.00,7.50,,5.15,Metal
93-154,FLORENTINE GREY,1.00,7.50,,5.15,Metal
93-156,FLORENTINE BLACK,1.00,7.50,,5.15,Metal
93-170,FROSTED BRASS,1.00,6.99,,4.81,Metal
93-550,SILVER LINEN,1.00,7.50,,5.15,Metal
93-552,RAW STEEL,1.00,7.50,,5.15,Metal
93-553,CARAMEL,1.00,7.50,,5.15,Metal
93-555,GOLD LINEN,1.00,7.50,,5.15,Metal
93-556,TUSCAN LINEN BLACK,1.00,7.50,,5.15,Metal
93-557,PEWTER,1.00,7.50,,5.15,Metal
93-558,SLATE,1.00,7.50,,5.15,Metal
94-02,FROSTED SILVER,1.25,6.82,,4.69,Metal
94-21,MATTE BLACK,1.25,7.81,,5.37,Metal
95-10,GRAPHITE,0.750,9.74,,6.70,Metal
95-14,GERMAN SILVER,0.750,9.74,,6.70,Metal
95-21,MATTE BLACK,0.750,9.74,,6.70,Metal
95-23,ANTIQUE GOLD X,0.750,8.80,,6.05,Metal
95-224,MATTE WHITE X,0.750,8.80,,6.05,Metal
95-429,BRITE BLACK-BRUSHED,0.750,10.03,,6.90,Metal
95-470,BRUSHED SATIN NICKEL,0.750,11.07,,7.62,Metal
97-14,GERMAN SILVER,0.750,8.27,,5.69,Metal
97-21,MATTE BLACK,0.750,8.27,,5.69,Metal
97-50,BLACK,0.750,7.31,,5.02,Metal
97-150,FLORENTINE SILVER X,0.750,9.49,,6.52,Metal
97-151,FLORENTINE GOLD X,0.750,9.49,,6.52,Metal
97-154,FLORENTINE GRAY,0.750,9.49,,6.52,Metal
97-155,FLORENTINE AMBER,0.750,9.49,,6.52,Metal
97-156,FLORENTINE BLACK,0.750,9.49,,6.52,Metal
97-167,FLORENTINE WALNUT,0.750,9.49,,6.52,Metal
97-400,BRUSHED ALUMINUM (SATIN),0.750,9.49,,6.52,Metal
97-550,TUSCAN LINEN SILVER X,0.750,9.49,,6.52,Metal
97-552,RAW STEEL,0.750,9.49,,6.52,Metal
97-553,CARAMEL,0.750,9.49,,6.52,Metal
97-555,TUSCAN LINEN AMBER,0.750,9.49,,6.52,Metal
97-556,TUSCAN LINEN BLACK,0.750,9.49,,6.52,Metal
97-557,PEWTER,0.750,9.49,,6.52,Metal
97-558,SLATE,0.750,9.49,,6.52,Metal
99-21,MATTE BLACK,1.250,9.74,,6.70,Metal
99-150,FLORENTINE SILVER X,1.250,11.07,,7.62,Metal
99-154,FLORENTINS GREY X,1.250,11.07,,7.62,Metal
99-156,FLORENTINE BLACK X,1.250,11.07,,7.62,Metal
99-421,BRUSHED SATIN BLACK X,1.250,11.50,,7.91,Metal
99-430,BRUSHED GERMAN SILVER,1.250,11.07,,7.62,Metal
99-470,BRUSHED SATIN NICKEL,1.250,11.50,,7.91,Metal
99-478,BRUSHED SATIN PEWTER,1.250,11.50,,7.91,Metal
100-14,GERMAN SILVER X,2.500,14.88,,10.23,Metal
100-21,MATTE BLACK,2.500,14.88,,10.23,Metal
117-01,SILVER,1.31,6.22,,4.28,Metal
117-02,FROSTED SILVER,1.31,6.22,,4.28,Metal
117-04,FROSTED GOLD,1.31,6.22,,4.28,Metal
117-10,GRAPHITE,1.31,6.99,,4.81,Metal
117-12,FROSTED PEWTER,1.31,6.99,,4.81,Metal
117-14,GERMAN SILVER,1.31,6.99,,4.81,Metal
117-19,FROSTED WALNUT,1.31,6.99,,4.81,Metal
117-20,ANODIC BLACK,1.31,6.99,,4.81,Metal
117-21,MATTE BLACK,1.31,6.99,,4.81,Metal
117-23,ANTIQUE GOLD,1.31,6.98,,4.80,Metal
117-50,BLACK,1.31,6.22,,4.28,Metal
117-55,RIGHT RED,1.31,6.22,,4.28,Metal
117-58,INDIGO,1.31,6.22,,4.28,Metal
117-164,DUSK,1.31,6.99,,4.81,Metal
117-201,MAROON,1.31,6.22,,4.28,Metal
117-202,TIGER ORANGE,1.31,6.22,,4.28,Metal
117-203,SUNSHINE,1.31,6.22,,4.28,Metal
117-204,KELLY GREEN,1.31,6.22,,4.28,Metal
117-205,FORREST GREEN,1.31,6.22,,4.28,Metal
117-206,AQUA,1.31,6.22,,4.28,Metal
117-207,BRIGHT BLUE,1.31,6.22,,4.28,Metal
117-208,ROYAL PURPLE,1.31,6.22,,4.28,Metal
117-227,TORNADO RED,1.31,7.30,,5.01,Metal
117-230,REFLEX SILVER,1.31,7.30,,5.01,Metal
117-231,GOLD BULLION,1.31,7.30,,5.01,Metal
117-232,GALACTIC BLUE,1.31,7.30,,5.01,Metal
117-233,PURPLE HAZE,1.31,7.30,,5.01,Metal
117-235,TANGERINE TWIST,1.31,7.30,,5.01,Metal
117-236,CYBER GREEN,1.31,7.30,,5.01,Metal
117-237,RASPBERRY FIZZ,1.31,7.30,,5.01,Metal
117-238,TURQUOISE,1.31,7.30,,5.01,Metal
117-240,AMETHYST,1.31,7.30,,5.01,Metal
117-270,BURNT SIENNA,1.31,6.99,,4.81,Metal
117-280,AMERICAN NATURAL X,1.31,7.90,,5.42,Metal
117-400,BRUSHED ALUMINUM (SATIN),1.31,7.30,,5.01,Metal
117-470,BRUSHED SATIN NICKEL,1.31,8.27,,5.69,Metal
117-478,BRUSHED SATIN PEWTER,1.31,8.27,,5.69,Metal
129-01,TIFFANY SILVER,1.38,5.38,,3.68,Metal
129-07,TIFFANY BRONZE,1.38,5.38,,3.68,Metal
129-13,TIFFANY CONTRAST GREY,1.38,5.38,,3.68,Metal
129-15,TIFFANY AMBER,1.38,5.38,,3.68,Metal
129-20,TIFFANY BLACK,1.38,5.38,,3.68,Metal
129-52,TIFFANY BRIGHT WHITE,1.38,5.38,,3.68,Metal
129-21,MATTE BLACK,1.38,5.38,,3.68,Metal
225-154,GRAPHITE,1.06,10.96,,7.53,Metal
225-421,JET BLACK,1.06,10.96,,7.53,Metal
225-452,FROSTED GOLD X,1.06,10.96,,7.53,Metal
225-469,MODERN PEWTER,1.06,10.96,,7.53,Metal
G11-S,GEM LINE 11 SILVER,0.813,4.35,,2.65,Metal
G11-G,GEM LINE 11 GOLD,0.813,4.53,,2.76,Metal
G11-GS,GEM LINE 11 GERMAN SILVER,0.813,4.59,,2.80,Metal
G11-A,GEM LINE 11 ANODIC BLACK,0.813,5.23,,3.19,Metal
G11-MB,GEM LINE 11 MATTE BLACK,0.813,5.23,,3.19,Metal
G2-FS,GEM LINE 2 FROSTED SILVER,1.406,4.53,,2.76,Metal
G2-FG,GEM LINE 2 FROSTED GOLD,1.406,4.84,,2.95,Metal
G2-MB,GEM LINE 2 MATTE BLACK,1.406,5.44,,3.32,Metal
G5-C,GEM LINE 5 CONTRAST GREY,0.875,5.23,,3.19,Metal
G5-A,GEM LINE 5 ANODIC BLACK,0.875,5.23,,3.19,Metal
G5-MB,GEM LINE 5 MATTE BLACK,0.875,5.23,,3.19,Metal
G15-S,GEM LINE 15 SILVER,1.000,5.44,,3.32,Metal
G15-FS,GEM LINE 15 FROSTED SILVER,1.000,5.44,,3.32,Metal
G15-GS,GEM LINE 15 GERMAN SILVER,1.000,5.77,,3.52,Metal
G15-MB,GEM LINE 15 MATTE BLACK,1.000,6.20,,3.78,Metal
