item,description,width,rabbet,cost,chop,join,group
NAT225-GL,"Galaxy 2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-GS,"Gilded Strands 2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.25,Wood
NAT225-H,"Natural-2 1/4"" Hydrangea","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-HS,Heart and Soul,"2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-L,"Natural-2 1/4"" Linen","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-LG,"Natural 2 1/4"" Lucky Green","2  1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-M,"Natural- 2 1/4"" Midnight","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-MA,"Natural 2 1/4"" Marigold","2  1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-ME,"Natural 2 1/4"" Merlot","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-MFB,"Mod Fres-2 1/4"" Bright","2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-MFEB,"Mod Fres-2 1/4"" Elec Blue","2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-MFND,"Mod Fres-2 1/4"" N & D","2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-MFP,Mod Fres 2 1/4-Pastel,"2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-MFS,"Mod Fres-2 1/4"" Sunset","2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-MFSS,"Mod Fres-2 1/4"" Sandstorm","2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-MK,"Natural 2 1/4"" Milk Chocol","2  1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-MM,"Moonlit Midnight 2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-MT,Midas Touch 2 1/4-Nat. G,"2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-MTB,Midas Touch 2 1/4 -Black,"2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-MTS,Midas Touch 2 1/4 Sage,"2 1/4""","3/8""",$14.00,$17.65,$ 20.85,Wood
NAT225-MU,"Natural 2 1/4"" Mustard","2  1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-NL,"Northern Lights 2 1/4""","2 1/4""","3/8""",$18.60,$22.00,$25.10,Wood
NAT225-O,"Natural-2 1/4"" Orange","2 1/4""","3/8""",$8.10,$10.55,$12.10,Wood
NAT225-P,"Natural-2 1/4"" Pink","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-PC,"Natural-2 1/4"" Popcorn","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-PD,"Polka Dots 2 1/4""","2 1/4""","3/8""",$11.65,$14.50,$16.25,Wood
NAT225-PE,"Natural 2 1/4"" Periwinkle","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-R,"Natural 2 1/4"" Red Barn","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-RT,"Natural-2 1/4"" Rust ","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-S,"Natural-2 1/4"" Sage","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-SB,"Summer Breeze 2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-SG,"Natural-2 1/4"" Steel Gray","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-SI,"Woodstone: Silva  2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-SP,"Natural-2 1/4"" Spring","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-T,"Twilight 2  2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-TX,"Woodstone: Tuxedo  2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-UB,Undertones-2.25 Ebony,"2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-UE,Undertones-2.25 Ear Brwn,"2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-UG,Undertones-2.25 Gld Clay,"2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-UH,Undertones-2.25 Honey Oak,"2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-UO,"Undertones-2.25"" Oasis","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-UR,Undertones-2.25 Redwood,"2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-USA,"Rustic-Stars 2.25""","2 1/4""","3/8""",N/A,N/A,$11.25,Wood
NAT225-W,"Natural-2 1/4"" Rus. White","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-WL,"Woodstone:Woodland 2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225-WT,"Natural-2 1/4"" Wheat","2  1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225-WW,"Wedding White 2 1/4""","2 1/4""","3/8""",$14.00,$17.65,$20.85,Wood
NAT225N-B,"Natural-2 1/4"" Natu Brow","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT225N-G,"Natural 2 1/4"" Natural Grey","2 1/4""","3/8""",$8.55,$10.55,$12.10,Wood
NAT300-A,"Natural 3"" Azalea","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-AQ,"Natural-3"" Aquamarine","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-B,"Natural 3"" Blue Porch","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-BB,"Natural 3""-Black Bean","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-BD,"Blackened Driftwood 3""","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-BL,"Natural-3"" Blue Lake","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-BY,"Natural-3"" Baby Blue","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-C,"Natural-3"" Carbon","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-CF,"Natural-3"" Coffee","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-CN,"Natural-3"" Caribbean","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-CO,"Natural-3""Coral","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-CP,"Copper Penny 3""","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-E,"Natural 3"" Eggplant","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-FP,"Flower Power 3""","3""","3/8""",$13.65,$16.95,$18.65,Wood
NAT300-FR,"Natural-3"" Fire Engine Red","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-G,"Natural-3"" Misty Grey","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-GL,"Galaxy 3""","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-GS,"Gilded Strands 3""","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-H,"Natural-3"" Hydrangea","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-L,"Natural-3"" Linen","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-LG,"Natural-3"" Lucky Green","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-M,"Natural-3"" Midnight","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-MA,"Natural-3"" Marigold","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-ME,"Natural 3"" Merlot","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-MFB,"Modern Fresco-3"" Bright","3""","3/8""",$13.65,$16.95,$18.65,Wood
NAT300-MFEB,"Modern Fresco 3""-Elect Blu","3""","3/8""",$13.65,$16.95,$18.65,Wood
NAT300-MFND,"Modern Fresco 3""Nght & D","3""","3/8""",$13.65,$16.95,$18.65,Wood
NAT300-MFP,"Modern Fresco 3"" Pastel","3""","3/8""",$13.65,$16.95,$18.65,Wood
NAT300-MFS,"Modern Fresco 3"" Sunset","3""","3/8""",$13.65,$16.95,$18.65,Wood
NAT300-MFSS,"Modern Fresco 3"" Sandsto","3""","3/8""",$13.65,$16.95,$18.65,Wood
NAT300-MK,"Natural 3"" Milk Chocolate","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-MM,"Moonlit Midnight 3""","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-MT,"Midas Toch 3""-Nat. Gray","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-MTB,"Midas Touch 3"" Black","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-MTS,"Midas Touch 3"" Sage","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-MU,"Natural 3"" Mustard","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-NL,"Northern Lights 3""","3""","3/8""",$24.60,$30.25,$33.40,Wood
NAT300-O,"Natural-3"" Orange","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-P,"Natural-3"" Pink","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-PC,"Natural-3"" Popcorn","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-PD,"Polka Dots 3""","3""","3/8""",$13.65,$16.95,$18.65,Wood
NAT300-PE,"Natural-3"" Periwinkle","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-R,"Natural-3"" Red Barn","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-RT,"Natural-3"" Rust","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-S,"Natural-3"" Sage","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-SB,"Summer Breeze 3""","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-SG,"Natural-3"" Steel Grey","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-SP,"Natural-3"" Spring","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-SW,"Natural-3"" Sweet Potato","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-T,"Twilight 3""","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-UB,"Undertones 3"" Ebony","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-UE,"Undertones 3"" Earth Brown","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-UG,"Undertones 3"" Gldn Clay","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-UH,"Undertones 3"" Honey Oak","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-UO,"Undertones 3"" Oasis",3,"3/8""",$17.90,$21.35,$25.00,Wood
NAT300-UR,"Undertones 3""-Redwod","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300-W,"Natural-3"" Rustic White","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-WT,"Natural-3"" Wheat","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300-WW,"Wedding White 3""","3""","3/8""",$17.90,$21.35,$25.00,Wood
NAT300N-B,"Natural-3"" Natural Brown","3""","3/8""",$9.50,$12.50,$14.30,Wood
NAT300N-G,"Natural-3"" Natural Grey","3""","3/8""",$9.50,$12.50,$14.30,Wood
NR225-SW,"Natural 2 1/4"" Sweet Pota","2  1/4""","3/8""",$8.55,$10.55,$12.10,Wood
SM100,"Gilded Barn.-1"" Silver","1""","3/8""",$11.95,$15.30,$17.40,Wood
SM150,"Gilded Barn-1.5"" Silver","1.5""","3/8""",$11.95,$15.30,$17.40,Wood
SM225,"Gilded Barn-2.25"" Silver","2.25""","3/8""",$15.10,$20.65,$22.80,Wood
SM300,"Gilded Barn-3"" Silver","3""","3/8""",$18.40,$24.95,$29.20,Wood
UP-BR,Up Tempo-Blue/Red,"1""","3/8""",$7.65,$10.80,$12.25,Wood
UP-CW,Up Tempo-Carbon White,"1""","3/8""",$7.65,$10.80,$12.25,Wood
UP-GM,Up Tempo-Grey/Midnight,"1""","3/8""",$7.65,$10.80,$12.25,Wood
UP-RTC,Up Tempo-Rust/Popcorn,"1""","3/8""",$7.65,$10.80,$12.25,Wood
UP-SP,Up Tempo-Sage/Pink,"1""","3/8""",$7.65,$10.80,$12.25,Wood
UP-WTCN,Up Tempo-Wheat/Carib.,"1""","3/8""",$7.65,$10.80,$12.25,Wood
ZZ,ZigZag,"1 1/2""",3/8,N/A,N/A,$32.00,Wood
