Item,Description,Width,Rabbet Height,Lip Size,Length,Chop,Join,Group,UPC
FC-164AC,FC Charcoal #164 Ash,0.75,2,0.25,,,30.24,Wood,
164AI,Rising White #164 Ash,0.75,2,0.25,10.53,14.95,20.18,Wood,
FC-164AI,FC Rising White #164 Ash,0.75,2,0.25,,,30.24,Wood,
164A1,Light Grey #164 Ash,0.75,2,0.25,10.53,14.95,20.18,Wood,
FC-164A1,FC Light Grey #164 Ash,0.75,2,0.25,,,30.24,Wood,
164A2,Medium Grey #164 Ash,0.75,2,0.25,10.53,14.95,20.18,Wood,
FC-164A2,FC Medium Grey #164 Ash,0.75,2,0.25,,,30.24,Wood,
164A3,Dark Grey #164 Ash,0.75,2,0.25,10.53,14.95,20.18,Wood,
FC-164A3,FC Dark Grey #164 Ash,0.75,2,0.25,,,30.24,Wood,
164CR,Raw #164 Cherry,0.75,2,0.25,5.72,8.35,12.52,Wood,
FC-164CR,FC Raw #164 Cherry,0.75,2,0.25,,,28.98,Wood,
164CF,Oil & Wax #164 Cherry,0.75,2,0.25,9.25,13.5,18.23,Wood,
FC-164CF,FC Oil & Wax #164 Cherry,0.75,2,0.25,,,29.66,Wood,
164CL,Clear Lacquer #164 Cherry,0.75,2,0.25,11.15,16.28,21.98,Wood,
FC-164CL,FC Clear Lacquer #164 Cherry,0.75,2,0.25,,,31.04,Wood,
164CG,Aged #164 Cherry,0.75,2,0.25,11.15,16.28,21.98,Wood,
FC-164CG,FC Aged #164 Cherry,0.75,2,0.25,,,31.04,Wood,
164CQ,Antique #164 Cherry,0.75,2,0.25,11.15,16.28,21.98,Wood,
FC-164CQ,FC Antique #164 Cherry,0.75,2,0.25,,,31.04,Wood,
164CD,Black Cherry #164 Cherry,0.75,2,0.25,11.15,16.28,21.98,Wood,
FC-164CD,FC Black Cherry #164 Cherry,0.75,2,0.25,,,31.73,Wood,
164MR,Raw #164 Maple,0.75,2,0.25,5.71,7.88,11.82,Wood,
FC-164MR,FC Raw #164 Maple,0.75,2,0.25,,,28.51,Wood,
164MF,Oil & Wax #164 Maple,0.75,2,0.25,8.97,12.38,16.71,Wood,
FC-164MF,FC Oil & Wax #164 Maple,0.75,2,0.25,,,29.19,Wood,
164ML,Clear Lacquer #164 Maple,0.75,2,0.25,9.24,12.75,17.21,Wood,
FC-164ML,FC Clear Lacquer #164 Maple,0.75,2,0.25,,,29.19,Wood,
164MW,WhiteWash #164 Maple,0.75,2,0.25,10.3,14.21,19.18,Wood,
FC-164MW,FC WhiteWash #164 Maple,0.75,2,0.25,,,29.88,Wood,
164MT,White #164 Maple,0.75,2,0.25,9.51,13.12,17.71,Wood,
FC-164MT,FC White #164 Maple,0.75,2,0.25,,,30.57,Wood,
164MK,Satin Black #164 Maple,0.75,2,0.25,9.51,13.12,17.71,Wood,
FC-164MK,FC Satin Black #164 Maple,0.75,2,0.25,,,30.57,Wood,
164MA,Warm White #164 Maple,0.75,2,0.25,9.51,13.12,17.71,Wood,
FC-164MA,FC Warm White #164 Maple,0.75,2,0.25,,,30.57,Wood,
164MI,Rising White #164 Maple,0.75,2,0.25,9.51,13.12,17.71,Wood,
FC-164MI,FC Rising White #164 Maple,0.75,2,0.25,,,30.57,Wood,
164M1,Light Grey #164 Maple,0.75,2,0.25,9.51,13.12,17.71,Wood,
FC-164M1,FC Light Grey #164 Maple,0.75,2,0.25,,,30.57,Wood,
164M2,Medium Grey #164 Maple,0.75,2,0.25,9.51,13.12,17.71,Wood,
FC-164M2,FC Medium Grey #164 Maple,0.75,2,0.25,,,30.57,Wood,
164M3,Dark Grey #164 Maple,0.75,2,0.25,9.51,13.12,17.71,Wood,
FC-164M3,FC Dark Grey #164 Maple,0.75,2,0.25,,,30.57,Wood,
164M9,Wheat #164 Maple,0.75,2,0.25,10.3,14.21,19.18,Wood,
FC-164M9,FC Wheat #164 Maple,0.75,2,0.25,,,30.57,Wood,
164OR,Raw #164 Oak,0.75,2,0.25,4.65,6.42,9.63,Wood,
FC-164OR,FC Raw #164 Oak,0.75,2,0.25,,,27.05,Wood,
164OF,Oil & Wax #164 Oak,0.75,2,0.25,7.91,10.92,14.74,Wood,
FC-164OF,FC Oil & Wax #164 Oak,0.75,2,0.25,,,27.73,Wood,
164OL,Clear Lacquer #164 Oak,0.75,2,0.25,8.18,11.29,15.24,Wood,
FC-164OL,FC Clear Lacquer #164 Oak,0.75,2,0.25,,,27.73,Wood,
164WR,Raw #164 Walnut,0.75,2,0.25,10.52,15.78,23.67,Wood,
FC-164WR,FC Raw #164 Walnut,0.75,2,0.25,,,36.41,Wood,
164WF,Oil & Wax #164 Walnut,0.75,2,0.25,15.11,22.66,30.59,Wood,
FC-164WF,FC Oil & Wax #164 Walnut,0.75,2,0.25,,,37.09,Wood,
164WP,Padauk #164 Walnut,0.75,2,0.25,15.95,23.92,32.29,Wood,
FC-164WP,FC Padauk #164 Walnut,0.75,2,0.25,,,37.78,Wood,
164WB,Special Dark #164 Walnut,0.75,2,0.25,15.95,23.92,32.29,Wood,
FC-164WB,FC Special Dark #164 Walnut,0.75,2,0.25,,,37.78,Wood,
164WE,Ebony #164 Walnut,0.75,2,0.25,15.11,22.66,30.59,Wood,
FC-164WE,FC Ebony #164 Walnut,0.75,2,0.25,,,37.78,Wood,
164WK,Satin Black #164 Walnut,0.75,2,0.25,14.32,21.48,29,Wood,
FC-164WK,FC Satin Black #164 Walnut,0.75,2,0.25,,,37.09,Wood,
164W1,Light Grey #164 Walnut,0.75,2,0.25,14.32,21.48,29,Wood,
FC-164W1,FC Light Grey #164 Walnut,0.75,2,0.25,,,37.09,Wood,
164W2,Medium Grey #164 Walnut,0.75,2,0.25,14.32,21.48,29,Wood,
FC-164W2,FC Medium Grey #164 Walnut,0.75,2,0.25,,,37.09,Wood,
164W3,Dark Grey #164 Walnut,0.75,2,0.25,14.32,21.48,29,Wood,
FC-164W3,FC Dark Grey #164 Walnut,0.75,2,0.25,,,37.09,Wood,
164VR,Raw #164 White Oak,0.75,2,0.25,6.85,11.3,16.95,Wood,
FC-164VR,FC Raw #164 White Oak,0.75,2,0.25,,,31.93,Wood,
164VF,Oil & Wax #164 White Oak,0.75,2,0.25,10.11,16.68,22.52,Wood,
FC-164VF,FC Oil & Wax #164 White Oak,0.75,2,0.25,,,32.61,Wood,
164VL,Clear Lacquer #164 White Oak,0.75,2,0.25,10.65,17.57,23.72,Wood,
FC-164VL,FC Clear Lacquer #164 White Oak,0.75,2,0.25,,,32.61,Wood,
164VC,Charcoal #164 White Oak,0.75,2,0.25,12.28,20.26,27.35,Wood,
FC-164VC,FC Charcoal #164 White Oak,0.75,2,0.25,,,33.3,Wood,
164VM,Mission #164 White Oak,0.75,2,0.25,12.28,20.26,27.35,Wood,
FC-164VM,FC Mission #164 White Oak,0.75,2,0.25,,,33.3,Wood,
164V7,Bleached #164 White Oak,0.75,2,0.25,12.28,20.26,27.35,Wood,
FC-164V7,FC Bleached #164 White Oak,0.75,2,0.25,,,33.3,Wood,
184AR,Raw #184 Ash,0.75,2.5,0.25,5.33,7.78,11.67,Wood,
FC-184AR,FC Raw #184 Ash,0.75,2.5,0.25,,,28.41,Wood,
184AF,Oil & Wax #184 Ash,0.75,2.5,0.25,8.59,12.54,16.93,Wood,
FC-184AF,FC Oil & Wax #184 Ash,0.75,2.5,0.25,,,29.09,Wood,
184AL,Clear Lacquer #184 Ash,0.75,2.5,0.25,9.13,13.33,18,Wood,
FC-184AL,FC Clear Lacquer #184 Ash,0.75,2.5,0.25,,,29.09,Wood,
184AW,WhiteWash #184 Ash,0.75,2.5,0.25,11.03,16.1,21.74,Wood,
FC-184AW,FC WhiteWash #184 Ash,0.75,2.5,0.25,,,29.78,Wood,
184AT,White #184 Ash,0.75,2.5,0.25,11.03,16.1,21.74,Wood,
FC-184AT,FC White #184 Ash,0.75,2.5,0.25,,,31.16,Wood,
184AK,Satin Black #184 Ash,0.75,2.5,0.25,11.03,16.1,21.74,Wood,
FC-184AK,FC Satin Black #184 Ash,0.75,2.5,0.25,,,31.16,Wood,
184AA,Warm White #184 Ash,0.75,2.5,0.25,11.03,16.1,21.74,Wood,
FC-184AA,FC Warm White #184 Ash,0.75,2.5,0.25,,,31.16,Wood,
184AC,Charcoal #184 Ash,0.75,2.5,0.25,11.03,16.1,21.74,Wood,
FC-184AC,FC Charcoal #184 Ash,0.75,2.5,0.25,,,31.16,Wood,
184AI,Rising White #184 Ash,0.75,2.5,0.25,11.03,16.1,21.74,Wood,
FC-184AI,FC Rising White #184 Ash,0.75,2.5,0.25,,,31.16,Wood,
184A1,Light Grey #184 Ash,0.75,2.5,0.25,11.03,16.1,21.74,Wood,
FC-184A1,FC Light Grey #184 Ash,0.75,2.5,0.25,,,31.16,Wood,
184A2,Medium Grey #184 Ash,0.75,2.5,0.25,11.03,16.1,21.74,Wood,
FC-184A2,FC Medium Grey #184 Ash,0.75,2.5,0.25,,,31.16,Wood,
184A3,Dark Grey #184 Ash,0.75,2.5,0.25,11.03,16.1,21.74,Wood,
FC-184A3,FC Dark Grey #184 Ash,0.75,2.5,0.25,,,31.16,Wood,
184CR,Raw #184 Cherry,0.75,2.5,0.25,7.31,10.96,16.44,Wood,
FC-184CR,FC Raw #184 Cherry,0.75,2.5,0.25,,,31.59,Wood,
184CF,Oil & Wax #184 Cherry,0.75,2.5,0.25,10.84,16.26,21.95,Wood,
FC-184CF,FC Oil & Wax #184 Cherry,0.75,2.5,0.25,,,32.27,Wood,
184CL,Clear Lacquer #184 Cherry,0.75,2.5,0.25,12.74,19.11,25.8,Wood,
FC-184CL,FC Clear Lacquer #184 Cherry,0.75,2.5,0.25,,,33.65,Wood,
184CG,Aged #184 Cherry,0.75,2.5,0.25,12.74,19.11,25.8,Wood,
FC-184CG,FC Aged #184 Cherry,0.75,2.5,0.25,,,33.65,Wood,
184CQ,Antique #184 Cherry,0.75,2.5,0.25,12.74,19.11,25.8,Wood,
FC-184CQ,FC Antique #184 Cherry,0.75,2.5,0.25,,,33.65,Wood,
184CD,Black Cherry #184 Cherry,0.75,2.5,0.25,12.74,19.11,25.8,Wood,
FC-184CD,FC Black Cherry #184 Cherry,0.75,2.5,0.25,,,34.34,Wood,
184MR,Raw #184 Maple,0.75,2.5,0.25,6.97,9.9,14.85,Wood,
FC-184MR,FC Raw #184 Maple,0.75,2.5,0.25,,,30.53,Wood,
184MF,Oil & Wax #184 Maple,0.75,2.5,0.25,10.23,14.53,19.62,Wood,
FC-184MF,FC Oil & Wax #184 Maple,0.75,2.5,0.25,,,31.21,Wood,
184ML,Clear Lacquer #184 Maple,0.75,2.5,0.25,10.5,14.91,20.13,Wood,
FC-184ML,FC Clear Lacquer #184 Maple,0.75,2.5,0.25,,,31.21,Wood,
184MW,WhiteWash #184 Maple,0.75,2.5,0.25,11.56,16.42,22.17,Wood,
FC-184MW,FC WhiteWash #184 Maple,0.75,2.5,0.25,,,31.9,Wood,
184MT,White #184 Maple,0.75,2.5,0.25,10.77,15.29,20.64,Wood,
FC-184MT,FC White #184 Maple,0.75,2.5,0.25,,,32.59,Wood,
184MK,Satin Black #184 Maple,0.75,2.5,0.25,10.77,15.29,20.64,Wood,
FC-184MK,FC Satin Black #184 Maple,0.75,2.5,0.25,,,32.59,Wood,
184MA,Warm White #184 Maple,0.75,2.5,0.25,10.77,15.29,20.64,Wood,
FC-184MA,FC Warm White #184 Maple,0.75,2.5,0.25,,,32.59,Wood,
184MI,Rising White #184 Maple,0.75,2.5,0.25,10.77,15.29,20.64,Wood,
FC-184MI,FC Rising White #184 Maple,0.75,2.5,0.25,,,32.59,Wood,
184M1,Light Grey #184 Maple,0.75,2.5,0.25,10.77,15.29,20.64,Wood,
FC-184M1,FC Light Grey #184 Maple,0.75,2.5,0.25,,,32.59,Wood,
184M2,Medium Grey #184 Maple,0.75,2.5,0.25,10.77,15.29,20.64,Wood,
FC-184M2,FC Medium Grey #184 Maple,0.75,2.5,0.25,,,32.59,Wood,
184M3,Dark Grey #184 Maple,0.75,2.5,0.25,10.77,15.29,20.64,Wood,
FC-184M3,FC Dark Grey #184 Maple,0.75,2.5,0.25,,,32.59,Wood,
184M9,Wheat #184 Maple,0.75,2.5,0.25,11.56,16.42,22.17,Wood,
FC-184M9,FC Wheat #184 Maple,0.75,2.5,0.25,,,32.59,Wood,
184WR,Raw #184 Walnut,0.75,2.5,0.25,13.54,19.77,29.66,Wood,
FC-184WR,FC Raw #184 Walnut,0.75,2.5,0.25,,,40.4,Wood,
184WF,Oil & Wax #184 Walnut,0.75,2.5,0.25,18.13,26.47,35.73,Wood,
FC-184WF,FC Oil & Wax #184 Walnut,0.75,2.5,0.25,,,41.08,Wood,
184WP,Padauk #184 Walnut,0.75,2.5,0.25,18.97,27.7,37.4,Wood,
FC-184WP,FC Padauk #184 Walnut,0.75,2.5,0.25,,,41.77,Wood,
184WB,Special Dark #184 Walnut,0.75,2.5,0.25,18.97,27.7,37.4,Wood,
FC-184WB,FC Special Dark #184 Walnut,0.75,2.5,0.25,,,41.77,Wood,
184WE,Ebony #184 Walnut,0.75,2.5,0.25,18.13,26.47,35.73,Wood,
FC-184WE,FC Ebony #184 Walnut,0.75,2.5,0.25,,,41.77,Wood,
184WK,Satin Black #184 Walnut,0.75,2.5,0.25,17.34,25.32,34.18,Wood,
FC-184WK,FC Satin Black #184 Walnut,0.75,2.5,0.25,,,41.08,Wood,
184W1,Light Grey #184 Walnut,0.75,2.5,0.25,17.34,25.32,34.18,Wood,
FC-184W1,FC Light Grey #184 Walnut,0.75,2.5,0.25,,,41.08,Wood,
184W2,Medium Grey #184 Walnut,0.75,2.5,0.25,17.34,25.32,34.18,Wood,
FC-184W2,FC Medium Grey #184 Walnut,0.75,2.5,0.25,,,41.08,Wood,
184W3,Dark Grey #184 Walnut,0.75,2.5,0.25,17.34,25.32,34.18,Wood,
FC-184W3,FC Dark Grey #184 Walnut,0.75,2.5,0.25,,,41.08,Wood,
184VR,Raw #184 White Oak,0.75,2.5,0.25,8.13,13.41,20.12,Wood,
FC-184VR,FC Raw #184 White Oak,0.75,2.5,0.25,,,34.04,Wood,
184VF,Oil & Wax #184 White Oak,0.75,2.5,0.25,11.39,18.79,25.37,Wood,
FC-184VF,FC Oil & Wax #184 White Oak,0.75,2.5,0.25,,,34.72,Wood,
184VL,Clear Lacquer #184 White Oak,0.75,2.5,0.25,11.93,19.68,26.57,Wood,
FC-184VL,FC Clear Lacquer #184 White Oak,0.75,2.5,0.25,,,34.72,Wood,
184VC,Charcoal #184 White Oak,0.75,2.5,0.25,13.56,22.37,30.2,Wood,
FC-184VC,FC Charcoal #184 White Oak,0.75,2.5,0.25,,,35.41,Wood,
184VM,Mission #184 White Oak,0.75,2.5,0.25,13.56,22.37,30.2,Wood,
FC-184VM,FC Mission #184 White Oak,0.75,2.5,0.25,,,35.41,Wood,
184V7,Bleached #184 White Oak,0.75,2.5,0.25,13.56,22.37,30.2,Wood,
FC-184V7,FC Bleached #184 White Oak,0.75,2.5,0.25,,,35.41,Wood,
205AR,Raw #205 Ash,0.75,0.75,0.25,4.05,5.75,9.2,Wood,
FC-205AR,FC Raw #205 Ash,0.75,0.75,0.25,,,26.38,Wood,
205AF,Oil & Wax #205 Ash,0.75,0.75,0.25,7.58,10.76,15.06,Wood,
FC-205AF,FC Oil & Wax #205 Ash,0.75,0.75,0.25,,,27.06,Wood,
205AL,Clear Lacquer #205 Ash,0.75,0.75,0.25,8.64,12.27,17.18,Wood,
FC-205AL,FC Clear Lacquer #205 Ash,0.75,0.75,0.25,,,27.06,Wood,
205AW,WhiteWash #205 Ash,0.75,0.75,0.25,9.75,13.84,19.38,Wood,
FC-205AW,FC WhiteWash #205 Ash,0.75,0.75,0.25,,,27.75,Wood,
205AT,White #205 Ash,0.75,0.75,0.25,9.75,13.84,19.38,Wood,
FC-205AT,FC White #205 Ash,0.75,0.75,0.25,,,29.13,Wood,
205AK,Satin Black #205 Ash,0.75,0.75,0.25,9.75,13.84,19.38,Wood,
FC-205AK,FC Satin Black #205 Ash,0.75,0.75,0.25,,,29.13,Wood,
205AA,Warm White #205 Ash,0.75,0.75,0.25,9.75,13.84,19.38,Wood,
FC-205AA,FC Warm White #205 Ash,0.75,0.75,0.25,,,29.13,Wood,
205AC,Charcoal #205 Ash,0.75,0.75,0.25,9.75,13.84,19.38,Wood,
FC-205AC,FC Charcoal #205 Ash,0.75,0.75,0.25,,,29.13,Wood,
205AI,Rising White #205 Ash,0.75,0.75,0.25,9.75,13.84,19.38,Wood,
FC-205AI,FC Rising White #205 Ash,0.75,0.75,0.25,,,29.13,Wood,
205A1,Light Grey #205 Ash,0.75,0.75,0.25,9.75,13.84,19.38,Wood,
FC-205A1,FC Light Grey #205 Ash,0.75,0.75,0.25,,,29.13,Wood,
205A2,Medium Grey #205 Ash,0.75,0.75,0.25,9.75,13.84,19.38,Wood,
FC-205A2,FC Medium Grey #205 Ash,0.75,0.75,0.25,,,29.13,Wood,
205A3,Dark Grey #205 Ash,0.75,0.75,0.25,9.75,13.84,19.38,Wood,
FC-205A3,FC Dark Grey #205 Ash,0.75,0.75,0.25,,,29.13,Wood,
205CR,Raw #205 Cherry,0.75,0.75,0.25,4.13,6.03,9.65,Wood,
FC-205CR,FC Raw #205 Cherry,0.75,0.75,0.25,,,26.66,Wood,
205CF,Oil & Wax #205 Cherry,0.75,0.75,0.25,7.93,11.58,16.21,Wood,
FC-205CF,FC Oil & Wax #205 Cherry,0.75,0.75,0.25,,,27.34,Wood,
205CL,Clear Lacquer #205 Cherry,0.75,0.75,0.25,9.83,14.35,20.09,Wood,
FC-205CL,FC Clear Lacquer #205 Cherry,0.75,0.75,0.25,,,28.72,Wood,
205CG,Aged #205 Cherry,0.75,0.75,0.25,9.83,14.35,20.09,Wood,
FC-205CG,FC Aged #205 Cherry,0.75,0.75,0.25,,,28.72,Wood,
205CQ,Antique #205 Cherry,0.75,0.75,0.25,9.83,14.35,20.09,Wood,
FC-205CQ,FC Antique #205 Cherry,0.75,0.75,0.25,,,28.72,Wood,
205CD,Black Cherry #205 Cherry,0.75,0.75,0.25,9.83,14.35,20.09,Wood,
FC-205CD,FC Black Cherry #205 Cherry,0.75,0.75,0.25,,,29.41,Wood,
205MR,Raw #205 Maple,0.75,0.75,0.25,4.46,6.15,9.84,Wood,
FC-205MR,FC Raw #205 Maple,0.75,0.75,0.25,,,26.78,Wood,
205MF,Oil & Wax #205 Maple,0.75,0.75,0.25,7.99,11.03,15.44,Wood,
FC-205MF,FC Oil & Wax #205 Maple,0.75,0.75,0.25,,,27.46,Wood,
205ML,Clear Lacquer #205 Maple,0.75,0.75,0.25,8.26,11.4,15.96,Wood,
FC-205ML,FC Clear Lacquer #205 Maple,0.75,0.75,0.25,,,27.46,Wood,
205MW,WhiteWash #205 Maple,0.75,0.75,0.25,9.89,13.65,19.11,Wood,
FC-205MW,FC WhiteWash #205 Maple,0.75,0.75,0.25,,,28.15,Wood,
205MT,White #205 Maple,0.75,0.75,0.25,9.05,12.49,17.49,Wood,
FC-205MT,FC White #205 Maple,0.75,0.75,0.25,,,28.84,Wood,
205MK,Satin Black #205 Maple,0.75,0.75,0.25,9.05,12.49,17.49,Wood,
FC-205MK,FC Satin Black #205 Maple,0.75,0.75,0.25,,,28.84,Wood,
205MA,Warm White #205 Maple,0.75,0.75,0.25,9.05,12.49,17.49,Wood,
FC-205MA,FC Warm White #205 Maple,0.75,0.75,0.25,,,28.84,Wood,
205MI,Rising White #205 Maple,0.75,0.75,0.25,9.05,12.49,17.49,Wood,
FC-205MI,FC Rising White #205 Maple,0.75,0.75,0.25,,,28.84,Wood,
205M1,Light Grey #205 Maple,0.75,0.75,0.25,8.26,11.4,15.96,Wood,
FC-205M1,FC Light Grey #205 Maple,0.75,0.75,0.25,,,28.84,Wood,
205M2,Medium Grey #205 Maple,0.75,0.75,0.25,8.26,11.4,15.96,Wood,
FC-205M2,FC Medium Grey #205 Maple,0.75,0.75,0.25,,,28.84,Wood,
205M3,Dark Grey #205 Maple,0.75,0.75,0.25,8.26,11.4,15.96,Wood,
FC-205M3,FC Dark Grey #205 Maple,0.75,0.75,0.25,,,28.84,Wood,
205M9,Wheat #205 Maple,0.75,0.75,0.25,9.05,12.49,17.49,Wood,
FC-205M9,FC Wheat #205 Maple,0.75,0.75,0.25,,,28.84,Wood,
205OR,Raw #205 Oak,0.75,0.75,0.25,3.77,5.2,8.32,Wood,
FC-205OR,FC Raw #205 Oak,0.75,0.75,0.25,,,25.83,Wood,
205OF,Oil & Wax #205 Oak,0.75,0.75,0.25,7.3,10.07,14.1,Wood,
FC-205OF,FC Oil & Wax #205 Oak,0.75,0.75,0.25,,,26.51,Wood,
205OL,Clear Lacquer #205 Oak,0.75,0.75,0.25,7.57,10.45,14.63,Wood,
FC-205OL,FC Clear Lacquer #205 Oak,0.75,0.75,0.25,,,26.51,Wood,
205WR,Raw #205 Walnut,0.75,0.75,0.25,8.47,12.37,19.79,Wood,
FC-205WR,FC Raw #205 Walnut,0.75,0.75,0.25,,,33,Wood,
205WF,Oil & Wax #205 Walnut,0.75,0.75,0.25,13.9,20.29,28.41,Wood,
FC-205WF,FC Oil & Wax #205 Walnut,0.75,0.75,0.25,,,33.68,Wood,
205WP,Padauk #205 Walnut,0.75,0.75,0.25,14.17,20.69,28.97,Wood,
FC-205WP,FC Padauk #205 Walnut,0.75,0.75,0.25,,,34.37,Wood,
205WB,Special Dark #205 Walnut,0.75,0.75,0.25,14.17,20.69,28.97,Wood,
FC-205WB,FC Special Dark #205 Walnut,0.75,0.75,0.25,,,34.37,Wood,
205WE,Ebony #205 Walnut,0.75,0.75,0.25,13.9,20.29,28.41,Wood,
FC-205WE,FC Ebony #205 Walnut,0.75,0.75,0.25,,,34.37,Wood,
205WK,Satin Black #205 Walnut,0.75,0.75,0.25,13.06,19.07,26.7,Wood,
FC-205WK,FC Satin Black #205 Walnut,0.75,0.75,0.25,,,33.68,Wood,
205W1,Light Grey #205 Walnut,0.75,0.75,0.25,13.06,19.07,26.7,Wood,
FC-205W1,FC Light Grey #205 Walnut,0.75,0.75,0.25,,,33.68,Wood,
205W2,Medium Grey #205 Walnut,0.75,0.75,0.25,13.06,19.07,26.7,Wood,
FC-205W2,FC Medium Grey #205 Walnut,0.75,0.75,0.25,,,33.68,Wood,
205W3,Dark Grey #205 Walnut,0.75,0.75,0.25,13.06,19.07,26.7,Wood,
FC-205W3,FC Dark Grey #205 Walnut,0.75,0.75,0.25,,,33.68,Wood,
215CR,Raw #215 Cherry,0.75,1.062,0.25,4.51,6.58,10.53,Wood,
FC-215CR,FC Raw #215 Cherry,0.75,1.062,0.25,,,27.21,Wood,
215CF,Oil & Wax #215 Cherry,0.75,1.062,0.25,8.31,12.13,16.98,Wood,
FC-215CF,FC Oil & Wax #215 Cherry,0.75,1.062,0.25,,,27.89,Wood,
215CL,Clear Lacquer #215 Cherry,0.75,1.062,0.25,10.21,14.91,20.87,Wood,
FC-215CL,FC Clear Lacquer #215 Cherry,0.75,1.062,0.25,,,29.27,Wood,
215CG,Aged #215 Cherry,0.75,1.062,0.25,10.21,14.91,20.87,Wood,
FC-215CG,FC Aged #215 Cherry,0.75,1.062,0.25,,,29.27,Wood,
215CQ,Antique #215 Cherry,0.75,1.062,0.25,10.21,14.91,20.87,Wood,
FC-215CQ,FC Antique #215 Cherry,0.75,1.062,0.25,,,29.27,Wood,
215CD,Black Cherry #215 Cherry,0.75,1.062,0.25,10.21,14.91,20.87,Wood,
FC-215CD,FC Black Cherry #215 Cherry,0.75,1.062,0.25,,,29.96,Wood,
215MR,Raw #215 Maple,0.75,1.062,0.25,4.86,6.71,10.74,Wood,
FC-215MR,FC Raw #215 Maple,0.75,1.062,0.25,,,27.34,Wood,
215MF,Oil & Wax #215 Maple,0.75,1.062,0.25,8.39,11.58,16.21,Wood,
FC-215MF,FC Oil & Wax #215 Maple,0.75,1.062,0.25,,,28.02,Wood,
215ML,Clear Lacquer #215 Maple,0.75,1.062,0.25,8.66,11.95,16.73,Wood,
FC-215ML,FC Clear Lacquer #215 Maple,0.75,1.062,0.25,,,28.02,Wood,
215MW,WhiteWash #215 Maple,0.75,1.062,0.25,10.29,14.2,19.88,Wood,
FC-215MW,FC WhiteWash #215 Maple,0.75,1.062,0.25,,,28.71,Wood,
215MT,White #215 Maple,0.75,1.062,0.25,9.45,13.04,18.26,Wood,
FC-215MT,FC White #215 Maple,0.75,1.062,0.25,,,29.4,Wood,
215MK,Satin Black #215 Maple,0.75,1.062,0.25,9.45,13.04,18.26,Wood,
FC-215MK,FC Satin Black #215 Maple,0.75,1.062,0.25,,,29.4,Wood,
215MA,Warm White #215 Maple,0.75,1.062,0.25,9.45,13.04,18.26,Wood,
FC-215MA,FC Warm White #215 Maple,0.75,1.062,0.25,,,29.4,Wood,
215MI,Rising White #215 Maple,0.75,1.062,0.25,9.45,13.04,18.26,Wood,
FC-215MI,FC Rising White #215 Maple,0.75,1.062,0.25,,,29.4,Wood,
215M1,Light Grey #215 Maple,0.75,1.062,0.25,8.66,11.95,16.73,Wood,
FC-215M1,FC Light Grey #215 Maple,0.75,1.062,0.25,,,29.4,Wood,
215M2,Medium Grey #215 Maple,0.75,1.062,0.25,8.66,11.95,16.73,Wood,
FC-215M2,FC Medium Grey #215 Maple,0.75,1.062,0.25,,,29.4,Wood,
215M3,Dark Grey #215 Maple,0.75,1.062,0.25,8.66,11.95,16.73,Wood,
FC-215M3,FC Dark Grey #215 Maple,0.75,1.062,0.25,,,29.4,Wood,
215M9,Wheat #215 Maple,0.75,1.062,0.25,9.45,13.04,18.26,Wood,
FC-215M9,FC Wheat #215 Maple,0.75,1.062,0.25,,,29.4,Wood,
215WR,Raw #215 Walnut,0.75,1.062,0.25,9.02,13.17,21.07,Wood,
FC-215WR,FC Raw #215 Walnut,0.75,1.062,0.25,,,33.8,Wood,
215WF,Oil & Wax #215 Walnut,0.75,1.062,0.25,14.45,21.1,29.54,Wood,
FC-215WF,FC Oil & Wax #215 Walnut,0.75,1.062,0.25,,,34.48,Wood,
215WP,Padauk #215 Walnut,0.75,1.062,0.25,14.72,21.49,30.09,Wood,
FC-215WP,FC Padauk #215 Walnut,0.75,1.062,0.25,,,35.17,Wood,
215WB,Special Dark #215 Walnut,0.75,1.062,0.25,14.72,21.49,30.09,Wood,
FC-215WB,FC Special Dark #215 Walnut,0.75,1.062,0.25,,,35.17,Wood,
215WE,Ebony #215 Walnut,0.75,1.062,0.25,14.45,21.1,29.54,Wood,
FC-215WE,FC Ebony #215 Walnut,0.75,1.062,0.25,,,35.17,Wood,
215WK,Satin Black #215 Walnut,0.75,1.062,0.25,13.61,19.87,27.82,Wood,
FC-215WK,FC Satin Black #215 Walnut,0.75,1.062,0.25,,,34.48,Wood,
215W1,Light Grey #215 Walnut,0.75,1.062,0.25,13.61,19.87,27.82,Wood,
FC-215W1,FC Light Grey #215 Walnut,0.75,1.062,0.25,,,34.48,Wood,
215W2,Medium Grey #215 Walnut,0.75,1.062,0.25,13.61,19.87,27.82,Wood,
FC-215W2,FC Medium Grey #215 Walnut,0.75,1.062,0.25,,,34.48,Wood,
215W3,Dark Grey #215 Walnut,0.75,1.062,0.25,13.61,19.87,27.82,Wood,
FC-215W3,FC Dark Grey #215 Walnut,0.75,1.062,0.25,,,34.48,Wood,
216CR,Raw #216 Cherry,0.625,1.062,0.25,4.51,6.58,10.53,Wood,
FC-216CR,FC Raw #216 Cherry,0.625,1.062,0.25,,,27.21,Wood,
216CF,Oil & Wax #216 Cherry,0.625,1.062,0.25,8.31,12.13,16.98,Wood,
FC-216CF,FC Oil & Wax #216 Cherry,0.625,1.062,0.25,,,27.89,Wood,
